Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,time_point,replicate,chip_antibody
SRR6657545,Hi-C,202,3307077542,PRJNA432349,SAMN08446092,1814069046,Proliferating adipose stem cells (ASCs) in growth medium,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3634733,GSM2973928,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-02-24T00:00:00Z,GSM2973928,Human primary adipose stem cells,SRP131871,"Day -2 (proliferative; ""Pro"")",rep1,
SRR6657546,Hi-C,152,9106328512,PRJNA432349,SAMN08446091,3543856938,Proliferating adipose stem cells (ASCs) in growth medium,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3634734,GSM2973929,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-02-24T00:00:00Z,GSM2973929,Human primary adipose stem cells,SRP131871,"Day -2 (proliferative; ""Pro"")",rep2,
SRR6657547,Hi-C,152,10202559960,PRJNA432349,SAMN08446091,4072226322,Proliferating adipose stem cells (ASCs) in growth medium,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3634734,GSM2973929,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-02-24T00:00:00Z,GSM2973929,Human primary adipose stem cells,SRP131871,"Day -2 (proliferative; ""Pro"")",rep2,
SRR6657548,Hi-C,152,9239111152,PRJNA432349,SAMN08446091,3589104067,Proliferating adipose stem cells (ASCs) in growth medium,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3634734,GSM2973929,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-02-24T00:00:00Z,GSM2973929,Human primary adipose stem cells,SRP131871,"Day -2 (proliferative; ""Pro"")",rep2,
SRR6657549,Hi-C,202,3178544740,PRJNA432349,SAMN08446091,1702369832,Proliferating adipose stem cells (ASCs) in growth medium,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3634734,GSM2973929,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-02-24T00:00:00Z,GSM2973929,Human primary adipose stem cells,SRP131871,"Day -2 (proliferative; ""Pro"")",rep2,
SRR6657550,Hi-C,202,3241729936,PRJNA432349,SAMN08446091,1752720152,Proliferating adipose stem cells (ASCs) in growth medium,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3634734,GSM2973929,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-02-24T00:00:00Z,GSM2973929,Human primary adipose stem cells,SRP131871,"Day -2 (proliferative; ""Pro"")",rep2,
SRR6657551,Hi-C,152,37628637400,PRJNA432349,SAMN08446090,14995704335,ASCs on day 1 after neuronal induction,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3634735,GSM2973930,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-02-24T00:00:00Z,GSM2973930,Human primary adipose stem cells,SRP131871,Day 1,rep1,
SRR6657552,Hi-C,152,5922356848,PRJNA432349,SAMN08446090,2447071454,ASCs on day 1 after neuronal induction,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3634735,GSM2973930,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-02-24T00:00:00Z,GSM2973930,Human primary adipose stem cells,SRP131871,Day 1,rep1,
SRR6657553,Hi-C,152,6599642704,PRJNA432349,SAMN08446090,2787421307,ASCs on day 1 after neuronal induction,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3634735,GSM2973930,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-02-24T00:00:00Z,GSM2973930,Human primary adipose stem cells,SRP131871,Day 1,rep1,
SRR6657554,Hi-C,152,15751773072,PRJNA432349,SAMN08446090,6818646118,ASCs on day 1 after neuronal induction,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3634735,GSM2973930,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2019-02-24T00:00:00Z,GSM2973930,Human primary adipose stem cells,SRP131871,Day 1,rep1,
